application	biotools_ID
https://biocontainers.pro/tools/nlstradamus	https://bio.tools/NLStradamus
https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanocompore	https://bio.tools/Nanocompore
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/nextpolish	https://bio.tools/NextPolish
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/novoalign	https://bio.tools/Novoalign
https://biocontainers.pro/tools/novoalign	https://bio.tools/Novoalign
https://github.com/galaxyproject/tools-iuc/tree/master/tools/orthofinder	https://bio.tools/OrthoFinder
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/pasa	https://bio.tools/PASA
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/pear	https://bio.tools/PEAR
https://biocontainers.pro/tools/pear	https://bio.tools/PEAR
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/phylip	https://bio.tools/PHYLIP
https://biocontainers.pro/tools/phylip	https://bio.tools/PHYLIP
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/ppanggolin	https://bio.tools/PPanGGOLiN
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/percolator	https://bio.tools/Percolator
https://biocontainers.pro/tools/percolator	https://bio.tools/Percolator
https://github.com/galaxyproject/tools-iuc/tree/master/tools/plasclass	https://bio.tools/PlasClass
https://github.com/galaxyproject/tools-iuc/tree/master/tools/plasmidfinder	https://bio.tools/PlasmidFinder
https://github.com/galaxyproject/tools-iuc/tree/master/tools/polypolish	https://bio.tools/Polypolish
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/poplddecay	https://bio.tools/PopLDdecay
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/predicthaplo	https://bio.tools/PredictHaplo
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/pyranges	https://bio.tools/PyRanges
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/quasirecomb	https://bio.tools/QuasiRecomb
https://biocontainers.pro/tools/quasirecomb	https://bio.tools/QuasiRecomb
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/raxml-ng	https://bio.tools/RAxML-NG
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/rfmix	https://bio.tools/RFMix
https://biocontainers.pro/tools/rfmix	https://bio.tools/RFMix
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/rnaclust	https://bio.tools/RNAclust
https://biocontainers.pro/tools/rnaclust	https://bio.tools/RNAclust
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/rnalien	https://bio.tools/RNAlien
https://biocontainers.pro/tools/rnalien	https://bio.tools/RNAlien
https://github.com/galaxyproject/tools-iuc/tree/master/tools/rrmscorer	https://bio.tools/RRMScorer
https://github.com/galaxyproject/tools-iuc/tree/master/tools/raceid	https://bio.tools/RaceID
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/racon	https://bio.tools/Racon
https://github.com/galaxyproject/tools-iuc/tree/master/tools/racon	https://bio.tools/Racon
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/recentrifuge	https://bio.tools/Recentrifuge
https://github.com/galaxyproject/tools-iuc/tree/master/tools/recentrifuge	https://bio.tools/Recentrifuge
https://biocontainers.pro/tools/repeatmasker	https://bio.tools/RepeatMasker
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/repeatmodeler	https://bio.tools/RepeatModeler
https://biocontainers.pro/tools/repeatmodeler	https://bio.tools/RepeatModeler
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/repeatscout	https://bio.tools/RepeatScout
https://github.com/galaxyproject/tools-iuc/tree/master/tools/salsa	https://bio.tools/SALSA
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/sina	https://bio.tools/SINA
https://biocontainers.pro/tools/sina	https://bio.tools/SINA
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/sistr_cmd	https://bio.tools/SISTR
https://github.com/galaxyproject/tools-iuc/tree/master/tools/sistr_cmd	https://bio.tools/SISTR
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/soapsplice	https://bio.tools/SOAPsplice
https://biocontainers.pro/tools/soapsplice	https://bio.tools/SOAPsplice
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/strike	https://bio.tools/STRIKE
